material_id,formula_pretty,facet,termination,site_label,site_kind,dE_Hstar_eV,dG_Hstar_eV,E_slab_eV,E_slabH_eV,E_H2_eV,slab_id,config_id,input_rel,mace_output_rel,abs_dG_Hstar_eV
mp-1184054,CuNi3,(111),0,hollow_4,hollow,-0.6322355270384605,-0.39223552703846054,-936.176513671875,-940.0679931640624,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__hollow_4,ads_structures/mp-1184054_h111_t0/hollow_4.vasp,mace_runs/h_ads/mp-1184054_h111_t0__hollow_4,0.39223552703846054
mp-644311,CuPt,(111),1,hollow_4,hollow,-0.6338224411010742,-0.3938224411010742,-1049.5762939453125,-1053.4693603515625,-6.518487930297852,mp-644311_h111_t1,mp-644311_h111_t1__hollow_4,ads_structures/mp-644311_h111_t1/hollow_4.vasp,mace_runs/h_ads/mp-644311_h111_t1__hollow_4,0.3938224411010742
mp-1186117,NiPt3,(111),0,hollow_0,hollow,-0.6344327926635742,-0.3944327926635742,-559.1781616210938,-563.0718383789062,-6.518487930297852,mp-1186117_h111_t0,mp-1186117_h111_t0__hollow_0,ads_structures/mp-1186117_h111_t0/hollow_0.vasp,mace_runs/h_ads/mp-1186117_h111_t0__hollow_0,0.3944327926635742
mp-1184054,CuNi3,(111),0,ontop_2,ontop,-0.6346158981323242,-0.3946158981323242,-936.176513671875,-940.0703735351562,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__ontop_2,ads_structures/mp-1184054_h111_t0/ontop_2.vasp,mace_runs/h_ads/mp-1184054_h111_t0__ontop_2,0.3946158981323242
mp-945,NiPt,(111),0,bridge_3,bridge,-0.6356229782104492,-0.3956229782104492,-343.8661804199219,-347.76104736328125,-6.518487930297852,mp-945_h111_t0,mp-945_h111_t0__bridge_3,ads_structures/mp-945_h111_t0/bridge_3.vasp,mace_runs/h_ads/mp-945_h111_t0__bridge_3,0.3956229782104492
mp-12798,Ni3Pt,(111),0,bridge_0,bridge,-0.6360807418823242,-0.3960807418823242,-546.6094360351562,-550.5047607421875,-6.518487930297852,mp-12798_h111_t0,mp-12798_h111_t0__bridge_0,ads_structures/mp-12798_h111_t0/bridge_0.vasp,mace_runs/h_ads/mp-12798_h111_t0__bridge_0,0.3960807418823242
mp-1184054,CuNi3,(111),0,bridge_3,bridge,-0.6362028121948242,-0.3962028121948242,-936.176513671875,-940.0719604492188,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__bridge_3,ads_structures/mp-1184054_h111_t0/bridge_3.vasp,mace_runs/h_ads/mp-1184054_h111_t0__bridge_3,0.3962028121948242
mp-1186117,NiPt3,(111),0,bridge_0,bridge,-0.6367521286010742,-0.3967521286010742,-559.1781616210938,-563.0741577148438,-6.518487930297852,mp-1186117_h111_t0,mp-1186117_h111_t0__bridge_0,ads_structures/mp-1186117_h111_t0/bridge_0.vasp,mace_runs/h_ads/mp-1186117_h111_t0__bridge_0,0.3967521286010742
mp-12798,Ni3Pt,(111),0,hollow_0,hollow,-0.6371793746948242,-0.3971793746948242,-546.6094360351562,-550.505859375,-6.518487930297852,mp-12798_h111_t0,mp-12798_h111_t0__hollow_0,ads_structures/mp-12798_h111_t0/hollow_0.vasp,mace_runs/h_ads/mp-12798_h111_t0__hollow_0,0.3971793746948242
mp-1186117,NiPt3,(110),1,bridge_0,bridge,-0.6380643844604492,-0.3980643844604492,-412.6534118652344,-416.55072021484375,-6.518487930297852,mp-1186117_h110_t1,mp-1186117_h110_t1__bridge_0,ads_structures/mp-1186117_h110_t1/bridge_0.vasp,mace_runs/h_ads/mp-1186117_h110_t1__bridge_0,0.3980643844604492
mp-1184054,CuNi3,(111),0,bridge_1,bridge,-0.6402921676636879,-0.4002921676636879,-936.176513671875,-940.0760498046876,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__bridge_1,ads_structures/mp-1184054_h111_t0/bridge_1.vasp,mace_runs/h_ads/mp-1184054_h111_t0__bridge_1,0.4002921676636879
mp-1225687,CuNi,(111),0,bridge_11,bridge,-0.6412687301635742,-0.4012687301635742,-1106.4576416015625,-1110.358154296875,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__bridge_11,ads_structures/mp-1225687_h111_t0/bridge_11.vasp,mace_runs/h_ads/mp-1225687_h111_t0__bridge_11,0.4012687301635742
mp-1184054,CuNi3,(111),0,bridge_5,bridge,-0.6439542770384605,-0.40395427703846054,-936.176513671875,-940.0797119140624,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__bridge_5,ads_structures/mp-1184054_h111_t0/bridge_5.vasp,mace_runs/h_ads/mp-1184054_h111_t0__bridge_5,0.40395427703846054
mp-12798,Ni3Pt,(111),0,hollow_2,hollow,-0.6447477340698242,-0.4047477340698242,-546.6094360351562,-550.513427734375,-6.518487930297852,mp-12798_h111_t0,mp-12798_h111_t0__hollow_2,ads_structures/mp-12798_h111_t0/hollow_2.vasp,mace_runs/h_ads/mp-12798_h111_t0__hollow_2,0.4047477340698242
mp-1225687,CuNi,(111),0,hollow_3,hollow,-0.6450529098510742,-0.4050529098510742,-1106.4576416015625,-1110.3619384765625,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__hollow_3,ads_structures/mp-1225687_h111_t0/hollow_3.vasp,mace_runs/h_ads/mp-1225687_h111_t0__hollow_3,0.4050529098510742
mp-644311,CuPt,(111),1,hollow_3,hollow,-0.6454191207885742,-0.4054191207885742,-1049.5762939453125,-1053.48095703125,-6.518487930297852,mp-644311_h111_t1,mp-644311_h111_t1__hollow_3,ads_structures/mp-644311_h111_t1/hollow_3.vasp,mace_runs/h_ads/mp-644311_h111_t1__hollow_3,0.4054191207885742
mp-1225687,CuNi,(111),0,bridge_0,bridge,-0.6466398239135742,-0.4066398239135742,-1106.4576416015625,-1110.363525390625,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__bridge_0,ads_structures/mp-1225687_h111_t0/bridge_0.vasp,mace_runs/h_ads/mp-1225687_h111_t0__bridge_0,0.4066398239135742
mp-1184054,CuNi3,(110),1,ontop_0,ontop,0.16717243194580078,0.4071724319458008,-360.8217468261719,-363.913818359375,-6.518487930297852,mp-1184054_h110_t1,mp-1184054_h110_t1__ontop_0,ads_structures/mp-1184054_h110_t1/ontop_0.vasp,mace_runs/h_ads/mp-1184054_h110_t1__ontop_0,0.4071724319458008
mp-1186117,NiPt3,(111),0,hollow_3,hollow,-0.6479825973510742,-0.4079825973510742,-559.1781616210938,-563.0853881835938,-6.518487930297852,mp-1186117_h111_t0,mp-1186117_h111_t0__hollow_3,ads_structures/mp-1186117_h111_t0/hollow_3.vasp,mace_runs/h_ads/mp-1186117_h111_t0__hollow_3,0.4079825973510742
mp-644311,CuPt,(111),1,hollow_5,hollow,-0.6487150192260742,-0.4087150192260742,-1049.5762939453125,-1053.4842529296875,-6.518487930297852,mp-644311_h111_t1,mp-644311_h111_t1__hollow_5,ads_structures/mp-644311_h111_t1/hollow_5.vasp,mace_runs/h_ads/mp-644311_h111_t1__hollow_5,0.4087150192260742
mp-1186117,NiPt3,(111),0,hollow_2,hollow,-0.6496305465698242,-0.4096305465698242,-559.1781616210938,-563.0870361328125,-6.518487930297852,mp-1186117_h111_t0,mp-1186117_h111_t0__hollow_2,ads_structures/mp-1186117_h111_t0/hollow_2.vasp,mace_runs/h_ads/mp-1186117_h111_t0__hollow_2,0.4096305465698242
mp-1184054,CuNi3,(111),0,hollow_2,hollow,-0.6498746871948242,-0.4098746871948242,-936.176513671875,-940.0856323242188,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__hollow_2,ads_structures/mp-1184054_h111_t0/hollow_2.vasp,mace_runs/h_ads/mp-1184054_h111_t0__hollow_2,0.4098746871948242
mp-1186117,NiPt3,(111),0,bridge_1,bridge,-0.6516447067260742,-0.4116447067260742,-559.1781616210938,-563.0890502929688,-6.518487930297852,mp-1186117_h111_t0,mp-1186117_h111_t0__bridge_1,ads_structures/mp-1186117_h111_t0/bridge_1.vasp,mace_runs/h_ads/mp-1186117_h111_t0__bridge_1,0.4116447067260742
mp-1184054,CuNi3,(111),0,ontop_1,ontop,-0.6547574996948242,-0.4147574996948242,-936.176513671875,-940.0905151367188,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__ontop_1,ads_structures/mp-1184054_h111_t0/ontop_1.vasp,mace_runs/h_ads/mp-1184054_h111_t0__ontop_1,0.4147574996948242
mp-12086,Cu3Pt,(110),0,bridge_0,bridge,0.17605304718017578,0.4160530471801758,-327.6285400390625,-330.71173095703125,-6.518487930297852,mp-12086_h110_t0,mp-12086_h110_t0__bridge_0,ads_structures/mp-12086_h110_t0/bridge_0.vasp,mace_runs/h_ads/mp-12086_h110_t0__bridge_0,0.4160530471801758
mp-1184054,CuNi3,(100),0,hollow_0,hollow,-0.6568937301635742,-0.4168937301635742,-650.7646484375,-654.6807861328125,-6.518487930297852,mp-1184054_h100_t0,mp-1184054_h100_t0__hollow_0,ads_structures/mp-1184054_h100_t0/hollow_0.vasp,mace_runs/h_ads/mp-1184054_h100_t0__hollow_0,0.4168937301635742
mp-945,NiPt,(110),0,bridge_1,bridge,-0.6575956344604492,-0.4175956344604492,-322.9041748046875,-326.8210144042969,-6.518487930297852,mp-945_h110_t0,mp-945_h110_t0__bridge_1,ads_structures/mp-945_h110_t0/bridge_1.vasp,mace_runs/h_ads/mp-945_h110_t0__bridge_1,0.4175956344604492
mp-1184054,CuNi3,(100),0,bridge_3,bridge,-0.6576261520385742,-0.4176261520385742,-650.7646484375,-654.6815185546875,-6.518487930297852,mp-1184054_h100_t0,mp-1184054_h100_t0__bridge_3,ads_structures/mp-1184054_h100_t0/bridge_3.vasp,mace_runs/h_ads/mp-1184054_h100_t0__bridge_3,0.4176261520385742
mp-1184054,CuNi3,(111),0,ontop_0,ontop,-0.6592130661010742,-0.4192130661010742,-936.176513671875,-940.094970703125,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__ontop_0,ads_structures/mp-1184054_h111_t0/ontop_0.vasp,mace_runs/h_ads/mp-1184054_h111_t0__ontop_0,0.4192130661010742
mp-1184054,CuNi3,(111),0,hollow_1,hollow,-0.6599454879760742,-0.4199454879760742,-936.176513671875,-940.095703125,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__hollow_1,ads_structures/mp-1184054_h111_t0/hollow_1.vasp,mace_runs/h_ads/mp-1184054_h111_t0__hollow_1,0.4199454879760742
mp-1184054,CuNi3,(111),0,bridge_0,bridge,-0.6622037887573242,-0.4222037887573242,-936.176513671875,-940.0979614257812,-6.518487930297852,mp-1184054_h111_t0,mp-1184054_h111_t0__bridge_0,ads_structures/mp-1184054_h111_t0/bridge_0.vasp,mace_runs/h_ads/mp-1184054_h111_t0__bridge_0,0.4222037887573242
mp-12798,Ni3Pt,(110),1,ontop_0,ontop,-0.6642179489135742,-0.4242179489135742,-400.9180603027344,-404.8415222167969,-6.518487930297852,mp-12798_h110_t1,mp-12798_h110_t1__ontop_0,ads_structures/mp-12798_h110_t1/ontop_0.vasp,mace_runs/h_ads/mp-12798_h110_t1__ontop_0,0.4242179489135742
mp-945,NiPt,(100),0,bridge_0,bridge,-0.6649656295776651,-0.42496562957766515,-206.690185546875,-210.6143951416016,-6.518487930297852,mp-945_h100_t0,mp-945_h100_t0__bridge_0,ads_structures/mp-945_h100_t0/bridge_0.vasp,mace_runs/h_ads/mp-945_h100_t0__bridge_0,0.42496562957766515
